Source 1	Source 2	p	q
Kostia|GCB	Kostia|ABC	0.39343503042617045	1.0
Kostia|GCB	BCCA|GCB	0.00996889084738818	0.3588800705059745
Kostia|GCB	BCCA|ABC	0.0013666204468048822	0.04919833608497576
Kostia|GCB	NCI|GCB	1.7874427224038084e-16	6.43479380065371e-15
Kostia|GCB	NCI|ABC	4.772131300807839e-23	1.717967268290822e-21
Kostia|ABC	Kostia|GCB	0.39343503042617045	1.0
Kostia|ABC	BCCA|GCB	0.002403584303716996	0.08652903493381185
Kostia|ABC	BCCA|ABC	0.00027069779190150187	0.009745120508454067
Kostia|ABC	NCI|GCB	1.3905329365487313e-14	5.005918571575432e-13
Kostia|ABC	NCI|ABC	2.1195336717153701e-19	7.630321218175332e-18
BCCA|GCB	Kostia|GCB	0.00996889084738818	0.3588800705059745
BCCA|GCB	Kostia|ABC	0.002403584303716996	0.08652903493381185
BCCA|GCB	BCCA|ABC	0.4620589217412533	1.0
BCCA|GCB	NCI|GCB	4.4907392795977074e-13	1.6166661406551748e-11
BCCA|GCB	NCI|ABC	1.689775174162379e-22	6.083190626984564e-21
BCCA|ABC	Kostia|GCB	0.0013666204468048822	0.04919833608497576
BCCA|ABC	Kostia|ABC	0.00027069779190150187	0.009745120508454067
BCCA|ABC	BCCA|GCB	0.4620589217412533	1.0
BCCA|ABC	NCI|GCB	1.1334274264117575e-09	4.080338735082327e-08
BCCA|ABC	NCI|ABC	6.011175390107888e-17	2.1640231404388396e-15
NCI|GCB	Kostia|GCB	1.7874427224038084e-16	6.43479380065371e-15
NCI|GCB	Kostia|ABC	1.3905329365487313e-14	5.005918571575432e-13
NCI|GCB	BCCA|GCB	4.4907392795977074e-13	1.6166661406551748e-11
NCI|GCB	BCCA|ABC	1.1334274264117575e-09	4.080338735082327e-08
NCI|GCB	NCI|ABC	0.00292249058776341	0.10520966115948276
NCI|ABC	Kostia|GCB	4.772131300807839e-23	1.717967268290822e-21
NCI|ABC	Kostia|ABC	2.1195336717153701e-19	7.630321218175332e-18
NCI|ABC	BCCA|GCB	1.689775174162379e-22	6.083190626984564e-21
NCI|ABC	BCCA|ABC	6.011175390107888e-17	2.1640231404388396e-15
NCI|ABC	NCI|GCB	0.00292249058776341	0.10520966115948276
